city,body_type,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Mileage,Engine_Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed
Kolkata,Hatchback,27046,Maruti,Maruti Baleno,2018,3964,1.2 CVT Delta,643000,Mar 2018,Comprehensive,Petrol,5,WB08,First Owner,Automatic,21.4,1197,83.1bhp@6000rpm,Silver,VVT Petrol Engine,115Nm@4000rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3995,1745,1510,2520,1515,1525,910,1360,CVT,Front Wheel Drive,Power,5.1,Disc,Drum,"Tubeless,Radial",0,5.0,184.0,339.0,10.5:1,12.79,180
Kolkata,SUV,30100,Toyota,Toyota Fortuner,2021,7618,2.8 4WD AT,3750000,Aug 2021,Third Party insurance,Diesel,7,WB08,First Owner,Automatic,15.04,2755,174.5bhp@3400rpm,Black,1-GD FTV Engine,450Nm@1600-2400rpm,4.0,DOHC,Direct Injection,73.0 X 89.4 mm,Yes,No,4795,1855,1835,2745,1490,1495,2280,1490,6 Speed,4WD,Power,5.8,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",18,5.0,184.0,352.0,10.5:1,12.14,157
Kolkata,Hatchback,9000,Maruti,Maruti Wagon R,2022,8835,LXI BSVI,545000,Nov 2022,Comprehensive,Petrol,5,WB06,First Owner,Manual,24.35,998,65.71bhp@5500rpm,Brown,K10C,89Nm@3500rpm,3.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3655,1620,1675,2435,1430,1440,1103,1490,5 Speed,Front Wheel Drive,Power,4.7,Disc,Drum,"Tubeless, Radial",0,5.0,184.0,341.0,10.5:1,12.9,170
Kolkata,Hatchback,17000,Hyundai,Hyundai i20,2022,8153,Sportz BSVI,750000,Feb 2022,Third Party insurance,Petrol,5,WB02,First Owner,Manual,21.0,1197,81.80bhp@6000rpm,Grey,1.2 l Kappa petrol,114.74Nm@4200rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3995,1775,1505,2580,1490,1495,1120,1490,5 Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless, Radial",0,5.0,184.0,311.0,10.5:1,12.9,170
Kolkata,SUV,49200,Jeep,Jeep Compass,2021,7885,2.0 Longitude Option AT,1650000,Jan 2021,Comprehensive,Diesel,5,WB06,First Owner,Automatic,17.1,1956,170bhp@3750rpm,Grey,2.0-Litre 4-Cyl Multijet II Engine,350Nm@1750-2500rpm,4.0,DOHC,CRDI,73.0 X 89.4 mm,Yes,No,4395,1818,1640,2636,1490,1495,1103,1490,9 Speed,4x4,Power,5.1,Disc,Discs,"Radial, Tubless",17,5.0,184.0,408.0,10.5:1,12.9,170
Kolkata,Hatchback,35000,Hyundai,Hyundai i10,2009,1567,Era,225000,Jan 2009,Comprehensive,Petrol,5,WB20,Second Owner,Manual,19.81,1086,68.05bhp@5500rpm,Red,IRDE2 Engine,99.04Nm@4500rpm,4.0,SOHC,MPFI,73.0 X 89.4 mm,No,No,3585,1595,1550,2380,1400,1385,860,1490,5 Speed,Front Wheel Drive,Power,4.7,Ventilated Disc,Drum,Tubeless,0,5.0,184.0,225.0,10.5:1,14.3,165
Kolkata,SUV,30000,Land Rover,Land Rover Range Rover Evoque,2020,7873,2.0 R-Dynamic SE diesel 2020-2021,5990000,2020,Third Party insurance,Diesel,5,WB02,Second Owner,Automatic,18.9,1999,245.4bhp@5500rpm,Gray,Turbocharged Diesel engine,430Nm@1750-2500rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,Yes,No,4371,1996,1649,2681,1626,1628,1775,2450,9-speed automatic,All Wheel Drive,Power,5.1,Disc,Disc,"Tubeless,Radial",18,5.0,184.0,786.0,15.5,9.3,205
Kolkata,Hatchback,54044,Maruti,Maruti Alto K10,2017,7013,VXI Optional,315000,Nov 2017,Third Party insurance,Petrol,5,WB12,First Owner,Manual,23.95,998,67.05bhp@6000rpm,Silver,K Series Petrol Engine,90Nm@3500rpm,3.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,3545,1515,1475,2360,1295,1290,784,1210,5 Speed,Front Wheel Drive,Power,4.6,Ventilated Disc,Drum,"Tubeless,Radial",0,5.0,184.0,177.0,10.5:1,13.3,145
Kolkata,SUV,6500,Tata,Tata Nexon,2021,7384,XM BSVI,799000,Mar 2021,Third Party insurance,Petrol,5,WB10,First Owner,Manual,17.33,1199,118.35bhp@5500rpm,Green,1.2l Turbocharged Revotron Engine,170Nm@1750-4000rpm,3.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3993,1811,1606,2498,1490,1495,1200,1490,6 Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless,Radial",0,5.0,184.0,350.0,10.5:1,12.9,170
Kolkata,Sedan,29159,Maruti,Maruti Ciaz,2017,4022,VXi Option,526000,Mar 2017,Zero Dep,Petrol,5,WB06,First Owner,Manual,20.73,1373,91.1bhp@6000rpm,Red,k14B VVT Engine,130Nm@4000rpm,4.0,DOHC,MPFI,73 X 82mm,No,No,4490,1730,1485,2650,1495,1505,1010,1490,5 Speed,Front Wheel Drive,Power,5.4,Ventilated Disc,Drum,"Tubeless, Radial",0,4.0,184.0,510.0,10.1:1,14.0,190
Kolkata,SUV,30000,Land Rover,Land Rover Range Rover Evoque,2020,7873,2.0 R-Dynamic SE diesel 2020-2021,5990000,2020,Third Party insurance,Diesel,5,WB02,Second Owner,Automatic,18.9,1999,245.4bhp@5500rpm,Silver,Turbocharged Diesel engine,430Nm@1750-2500rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,Yes,No,4371,1996,1649,2681,1626,1628,1775,2450,9-speed automatic,All Wheel Drive,Power,5.1,Disc,Disc,"Tubeless,Radial",18,5.0,184.0,786.0,15.5,9.3,205
Kolkata,Sedan,31968,Honda,Honda City,2016,1217,i VTEC CVT VX,675000,Oct 2016,Comprehensive,Petrol,5,WB02,First Owner,Automatic,18.0,1497,117.3bhp@6600rpm,Brown,i VTEC Engine,145Nm@4600rpm,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,No,No,4440,1695,1495,2600,1480,1465,1085,1490,5 Speed CVT,Front Wheel Drive,Power,5.3,Disc,Drum,"Tubeless,Radial",15,4.0,184.0,510.0,10.3:1,10.0,195
Kolkata,Hatchback,44150,Hyundai,Hyundai Grand i10 Nios,2019,7094,Asta,612000,Oct 2019,Third Party insurance,Petrol,5,WB02,Second Owner,Manual,20.7,1197,81.86bhp@6000rpm,Blue,1.2 Kappa petrol,113.8nm@4000rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3805,1680,1520,2450,1490,1495,1060,1490,5-Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless, Radial",15,5.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Hatchback,60000,Hyundai,Hyundai i20,2010,8988,1.2 Magna Opt,189000,2010,Third Party insurance,Petrol,5,WB02,First Owner,Manual,17.0,1197,80 PS at 5200 rpm,Others,In-Line Engine,"11.4 kgm at 4,000 rpm",4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3940,1710,1505,2520,1490,1495,1120,1490,5 Speed,Front Wheel Drive,Power,5.1,Disc,Drum,"Tubeless,Radial",14,5.0,184.0,295.0,:1,12.96,170
Kolkata,SUV,25009,Hyundai,Hyundai Creta,2018,6432,1.6 SX Automatic,990000,Oct 2018,Comprehensive,Petrol,5,WB20,First Owner,Automatic,14.8,1591,121.3bhp@6400rpm,Grey,VTVT Petrol Engine,151NM@4850rpm,4.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,4270,1780,1665,2590,1490,1495,1300,1490,6 Speed,Front Wheel Drive,Power,5.3,Disc,Drum,Tubeless,17,5.0,190.0,400.0,10.5:1,12.9,170
Kolkata,Hatchback,46469,Maruti,Maruti Swift,2020,10403,VXI,534000,Sept 2020,Zero Dep,Petrol,5,WB06,First Owner,Manual,22.38,1197,88.50bhp@6000rpm,Silver,K Series Dual jet,113Nm@4400rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3845,1735,1530,2450,1530,1530,1103,1335,5-Speed,Front Wheel Drive,Electric,4.8,Disc,Drum,"Radial, Tubeless",0,5.0,184.0,268.0,10.5:1,12.9,170
Kolkata,SUV,45000,Hyundai,Hyundai Creta,2018,8179,1.6 VTVT SX Plus,800000,May 2018,Third Party insurance,Petrol,5,WB02,First Owner,Manual,13.0,1591,121.3bhp@6400rpm,White,VTVT Petrol Engine,151Nm@4850rpm,4.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,4270,1780,1630,2590,1490,1495,1280,1490,6 Speed,Front Wheel Drive,Power,5.3,Disc,Drum,Tubeless,17,5.0,184.0,400.0,10.5:1,12.9,170
Kolkata,Sedan,31577,Hyundai,Hyundai Verna,2020,7731,SX Opt,983000,Jun 2020,Third Party insurance,Petrol,5,WB02,First Owner,Manual,17.7,1497,113.18bhp@6300rpm,Black,1.5 l MPi petrol,143.8Nm@4500rpm,4.0,DOHC with VIS,MPi,73.0 X 89.4 mm,No,No,4440,1729,1475,2600,1490,1495,1200,1490,6 Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless, Radial",16,4.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Hatchback,56005,Maruti,Maruti Celerio,2014,3982,VXI AT,281000,Jun 2014,Comprehensive,Petrol,5,WB08,First Owner,Automatic,23.1,998,67.04bhp@6000rpm,Red,K10B Engine,90Nm@3500rpm,3.0,DOHC,MPFi,73 X 82 mm,No,No,3715,1635,1565,2425,1420,1410,840,1250,5 Speed ,Front Wheel Drive,Power,4.7,Ventilated Disc,Drum,"Tubeless, Radial",0,5.0,184.0,235.0,11.0:1,15.05,150
Kolkata,Hatchback,10005,Maruti,Maruti Wagon R,2021,6740,VXI,535000,Oct 2021,Comprehensive,Petrol,5,WB96,First Owner,Manual,21.79,998,67.05bhp@5500rpm,Brown,K10B Petrol Engine,90Nm@3500rpm,3.0,DOHC,MPFI,73  x 79.5 mm,No,No,3655,1620,1675,2435,1490,1495,1103,1340,5 Speed,Front Wheel Drive,Power,4.7,Disc,Drum,"Tubeless Tyres, Radial",0,5.0,184.0,352.0,10.5:1,18.6,170
Kolkata,Hatchback,41163,Hyundai,Hyundai Grand i10,2017,5607,1.2 Kappa Asta,475000,Mar 2017,Comprehensive,Petrol,5,WB06,First Owner,Manual,18.9,1197,81.86bhp@6000rpm,Red,Kappa VTVT Petrol Engine,113.75nm@4000rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3765,1660,1520,2425,1479,1493,1060,1490,5 Speed,Front Wheel Drive,Power,4.8,Disc,Drum,Tubeless,14,5.0,184.0,256.0,10.5:1,12.9,165
Kolkata,Sedan,17839,Mercedes-Benz,Mercedes-Benz E-Class,2020,7579,Exclusive E 220d,5300000,Dec 2020,Comprehensive,Diesel,5,WB92,First Owner,Automatic,16.1,1950,191.7bhp@3800rpm,Grey,CDI In-line Engine,400Nm@1600-2800rpm,4.0,DOHC,CRDI,73.0 X 89.4 mm,Yes,No,5063,1860,1494,3079,1595,1597,1805,1490,9 Speed,RWD,Electric,6.0,Ventilated Disc,Disc,"Tubeless,Radial",17,4.0,184.0,540.0,10.5:1,7.3,240
Kolkata,Sedan,3800,Toyota,Toyota Yaris,2019,7286,V,695000,Mar 2019,Comprehensive,Petrol,5,WB20,First Owner,Manual,17.1,1496,105.5bhp@6000rpm,Red,1.5 Dual VVT-i Engine,140Nm@4200rpm,4.0,DOHC,EFI,73.0 X 89.4 mm,No,No,4425,1730,1495,2550,1490,1495,1105,1580,6 Speed,Front Wheel Drive,Power,5.1,Disc,Disc,"Tubless, Radial",15,4.0,184.0,476.0,10.5:1,12.9,170
Kolkata,Hatchback,34124,Maruti,Maruti Wagon R,2018,6740,VXI,395000,Feb 2018,Comprehensive,Petrol,5,WB08,First Owner,Manual,21.79,998,67.05bhp@5500rpm,Blue,K10B Petrol Engine,90Nm@3500rpm,3.0,DOHC,MPFI,73  x 79.5 mm,No,No,3655,1620,1675,2435,1490,1495,1103,1340,5 Speed,Front Wheel Drive,Power,4.7,Disc,Drum,"Tubeless Tyres, Radial",0,5.0,184.0,352.0,10.5:1,18.6,170
Kolkata,Hatchback,50000,Hyundai,Hyundai i20,2012,1636,1.4 CRDi Magna,200000,2012,Third Party insurance,Diesel,5,WB06,Second Owner,Manual,21.9,1396,90PS at 4000rpm,Others,Diesel,22.4 kgm at 1750-2750rpm,4.0,DOHC,CRDI,73.0 X 89.4 mm,No,No,3940,1710,1505,2525,1505,1503,1120,1490,5-Speed,Front Wheel Drive,Power,5.1,Disc,Disc,"Tubeless,Radial",14,5.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Sedan,48168,Honda,Honda City,2018,5628,i-VTEC VX,750000,Mar 2018,Comprehensive,Petrol,5,WB02,First Owner,Manual,17.4,1497,117.6bhp@6600rpm,Maroon,i VTEC Engine,145Nm@4600rpm,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,No,No,4440,1695,1495,2600,1475,1465,1084,1459,5 Speed,Front Wheel Drive,Power,5.3,Ventilated Disc,Drum,"Tubeless,Radial",16,4.0,184.0,510.0,10.3:1,9.64,189
Kolkata,MUV,20000,Mahindra,Mahindra Marazzo,2019,6572,M2 8Str BSIV,975000,2019,Third Party insurance,Diesel,8,WB02,Third Owner,Manual,17.3,1497,121bhp@3500rpm,Others,D15 1.5 Liter Diesel Engine,300Nm@1750-2500rpm,4.0,DOHC,CRDi,73.0 X 89.4 mm,Yes,No,4585,1866,1774,2760,1490,1495,1103,1490,6 Speed,Front Wheel Drive,Power,5.1,Disc,Disc,"Tubless, Radial",0,5.0,200.0,190.0,10.5:1,12.9,170
Kolkata,Sedan,56357,Maruti,Maruti Swift Dzire,2018,6857,LXI,480000,Mar 2018,Third Party insurance,Petrol,5,WB26,First Owner,Manual,19.0,1197,85.8bhp@6000rpm,White,K Series VVT Engine,114Nm@4000rpm,4.0,DOHC,MPFI,73 X 71.5 mm,No,No,3995,1695,1555,2430,1485,1495,970,1415,5 Speed,Front Wheel Drive,Power,4.8,Ventilated Disc,Drum,"Tubeless,Radial",14,4.0,184.0,352.0,10.0:1,12.6,169
Kolkata,Sedan,60000,Maruti,Maruti Swift Dzire,2010,4224,VXi,245000,2010,Third Party insurance,Petrol,5,WB06,First Owner,Manual,17.5,1298,85.8bhp@6000rpm,Blue,In-Line Engine,114Nm@4000rpm,4.0,SOHC,MPFI,74 x 75.5 mm,No,No,4160,1690,1530,2390,1470,1480,1025,1490,5 Speed,Two Wheel Drive,Power,5.1,Ventilated Disc,Drum,"Tubeless,Radial",14,4.0,184.0,352.0,9.0:1,12.9,170
Kolkata,Hatchback,10585,Maruti,Maruti Baleno,2022,6777,Delta,719000,Jul 2022,Comprehensive,Petrol,5,WB26,First Owner,Manual,21.01,1197,81.80bhp@6000rpm,Blue,1.2L VVT Engine,113Nm@4200rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3995,1745,1510,2520,1515,1525,1103,1340,5 Speed,Front Wheel Drive,Electric,4.9,Disc,Drum,"Tubeless,Radial",0,5.0,184.0,339.0,10.5:1,12.36,170
Kolkata,Sedan,50000,Honda,Honda Civic,2012,1305,1.8 V AT Elegance,375000,2012,Third Party insurance,Petrol,5,TN01,Second Owner,Automatic,13.1,1799,"132 @ 6,300 (PS@rpm)",Others,In-Line Engine,"17.5 @ 4,300 (kgm@rpm)",4.0,SOHC,PGM-FI (Programmed Fuel Inject,81 x 87.3 mm,No,No,4545,1750,1450,2700,1490,1495,1210,1490,5 Speed,Front Wheel Drive,Power,5.1,Ventilated Disc,Disc,"Tubeless,Radial",15,4.0,184.0,352.0,10.5:1,9.6,206
Kolkata,SUV,17642,Hyundai,Hyundai Creta,2020,7689,S BSVI,1214000,Jul 2020,Zero Dep,Petrol,5,WB12,First Owner,Manual,18.9,1497,113.18bhp@6300rpm,White,1.5 L MPi Petrol,143.8Nm@4500rpm,4.0,DOHC,MPi,73.0 X 89.4 mm,No,No,4300,1790,1635,2610,1490,1495,1360,1490,6-speed,Front Wheel Drive,Power,5.1,Disc,Disc,"Tubeless, Radial",0,5.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Hatchback,20000,Tata,Tata Tiago,2018,6718,1.05 Revotorq XZ Plus DualTone,438999,2018,Third Party insurance,Diesel,5,WB02,First Owner,Manual,27.28,1047,69bhp@4000rpm,Others,Revotorq Engine,140Nm@1800-3000rpm,3.0,DOHC,CRDi,75 X 79 mm,Yes,No,3746,1647,1535,2400,1400,1420,1080,1490,5 Speed,Front Wheel Drive,Power,5.1,Disc,Drum,Tubeless,14,5.0,184.0,242.0,16:1,16.29,150
Kolkata,Hatchback,9157,Hyundai,Hyundai Grand i10 Nios,2021,7094,Asta,753000,Mar 2021,Third Party insurance,Petrol,5,WB08,First Owner,Manual,20.7,1197,81.86bhp@6000rpm,Blue,1.2 Kappa petrol,113.8nm@4000rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3805,1680,1520,2450,1490,1495,1060,1490,5-Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless, Radial",15,5.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Sedan,65979,Honda,Honda Amaze,2016,1168,S i-Vtech,362000,Jun 2016,Comprehensive,Petrol,5,WB02,Second Owner,Manual,18.0,1198,86.7bhp@6000rpm,Others,i-VTEC Petrol Engine,109Nm@4500rpm,4.0,SOHC,MPFI,73.0 X 89.4 mm,No,No,3990,1680,1505,2405,1490,1495,950,1490,5 Speed,Front Wheel Drive,Power,4.5,Disc,Drum,"Tubeless,Radial",0,4.0,184.0,400.0,10.5:1,15.0,160
Kolkata,Sedan,65000,Skoda,Skoda Rapid,2014,3171,1.6 TDI Active Plus,300000,Jun 2014,Third Party insurance,Diesel,5,WB02,First Owner,Manual,20.5,1598,105bhp@4400rpm,Golden,Turbocharged Diesel Engin,250Nm@1500-2500rpm,4.0,DOHC,Direct Injection,73.0 X 89.4 mm,Yes,No,4386,1699,1466,2552,1490,1495,1205,1757,5 Speed,Front Wheel Drive,Power,5.3,Disc,Drum,"Tubeless,Radial",14,4.0,184.0,460.0,10.5:1,12.9,170
Kolkata,Hatchback,7940,Datsun,Datsun RediGO,2020,5906,1.0 T Option,389000,Jun 2020,Comprehensive,Petrol,5,WB06,Second Owner,Manual,22.5,999,67bhp@5500rpm,Silver,1.0L Petrol Engine,91Nm@4250rpm,3.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,3429,1560,1541,2348,1490,1495,750,1490,5-Speed,Two Wheel Drive,Power,5.1,Disc,Drum,"Tubeless,Radial",0,5.0,185.0,222.0,10.5:1,12.9,170
Kolkata,Hatchback,100000,Hyundai,Hyundai Santro Xing,2010,1709,GL,114999,2010,Third Party insurance,Petrol,5,WB18,Fourth Owner,Manual,18.9,1086,62bhp@5500rpm,Black,In-Line Engine,96.1Nm@3000rpm,4.0,SOHC,MPFI,66 x 77 mm,No,No,3565,1525,1590,2380,1315,1300,854,1490,5 Speed,Front Wheel Drive,Power,5.1,Ventilated Disc,Drum,"Tubeless,Radial",13,5.0,184.0,352.0,8.9:1,16.2,170
Kolkata,Sedan,40000,BMW,BMW 3 Series,2011,205,320d Highline,865000,Jul 2011,Comprehensive,Diesel,5,WB20,First Owner,Automatic,16.07,1995,181bhp@4000rpm,Red,In-Line Engine,380Nm@1750-3000rpm,4.0,DOHC,CRDI,84 x 90 mm,Yes,No,4520,1817,1421,2760,1460,1454,1455,1985,6 Speed,Front Wheel Drive,Power,5.1,Disc,Disc,"Tubeless,Radial",16,4.0,184.0,352.0,16.0:1,8.3,170
